iter	Passed	Remaining
0	380	30042
1	688	26834
2	952	24441
3	1200	22815
4	1428	21425
5	1654	20406
6	1807	18852
7	1963	17670
8	2169	17113
9	2468	17281
10	2735	17158
11	3167	17950
12	3318	17100
13	3477	16393
14	3668	15894
15	3864	15459
16	4128	15300
17	4396	15142
18	4649	14927
19	4872	14618
20	5077	14264
21	5287	13940
22	5552	13760
23	5874	13707
24	6214	13670
25	6411	13316
26	6607	12969
27	6819	12664
28	7043	12387
29	7285	12143
30	7500	11856
31	7700	11550
32	7904	11257
33	8121	10988
34	8333	10714
35	8524	10419
36	8728	10143
37	8883	9819
38	9058	9523
39	9272	9272
40	9536	9071
41	9772	8841
42	10022	8623
43	10269	8402
44	10499	8166
45	10725	7927
46	10904	7656
47	11095	7397
48	11303	7151
49	11503	6902
50	11728	6669
51	11963	6441
52	12199	6214
53	12427	5983
54	12671	5759
55	12848	5506
56	13084	5279
57	13335	5058
58	13583	4834
59	13809	4603
60	14061	4379
61	14326	4159
62	14556	3928
63	14834	3708
64	15088	3482
65	15333	3252
66	15607	3028
67	15826	2792
68	16079	2563
69	16264	2323
70	16479	2088
71	16660	1851
72	16832	1614
73	16988	1377
74	17208	1147
75	17414	916
76	17634	687
77	17852	457
78	18134	229
79	18362	0
