iter	Logloss
0	0.6409903717
1	0.5976007977
2	0.5012412152
3	0.4338065614
4	0.3474085652
5	0.2861933704
6	0.2439203951
7	0.2175560781
8	0.195828644
9	0.1853113004
10	0.1749135839
11	0.1690433589
12	0.1627239209
13	0.1579082002
14	0.155155187
15	0.1495950549
16	0.147726408
17	0.1455820346
18	0.1427028981
19	0.1418277694
20	0.1395689607
21	0.1384701483
22	0.1378986202
23	0.1365199343
24	0.1359541538
25	0.1356988516
26	0.1347874723
27	0.1337737865
28	0.1335231106
29	0.1330292264
30	0.1324199171
31	0.1323373164
32	0.1320340452
33	0.1316778347
34	0.1314117686
35	0.1311835449
36	0.1308441702
37	0.1307287566
38	0.1304619552
39	0.1301888584
40	0.1300709386
41	0.1299321974
42	0.1298307271
43	0.1297116674
44	0.1296333537
45	0.1296283778
46	0.1296126797
47	0.1295899194
48	0.1295155233
49	0.1294144026
50	0.1293605776
51	0.1293031741
52	0.1291923382
53	0.1291499853
54	0.1290125291
55	0.1289680966
56	0.1289293816
57	0.1288431546
58	0.1287673372
59	0.1287374123
60	0.128677024
61	0.1286770162
62	0.1286517371
63	0.1286407727
64	0.1285511299
65	0.1285511211
66	0.1285510611
67	0.1285292894
68	0.1284881654
69	0.1284267903
70	0.128401701
71	0.1283634889
72	0.128335993
73	0.1283359638
74	0.1282944937
75	0.1282772212
76	0.128233478
77	0.1282204524
78	0.1282194544
79	0.1281946475
80	0.1281946475
81	0.1281946175
82	0.1281945684
83	0.1281879198
84	0.1281794273
85	0.1281729701
86	0.1280961513
87	0.1280761746
88	0.1280670675
89	0.1280212064
90	0.1279930578
91	0.1279930335
92	0.1279843549
93	0.1279715359
94	0.1279627325
95	0.1279072583
96	0.1278975691
97	0.1278511662
98	0.1278452225
99	0.1278452212
100	0.1278452191
101	0.1278451981
102	0.1278451952
103	0.1278282873
104	0.1278282843
105	0.1278282826
106	0.1278282272
107	0.1278022935
108	0.1278022935
109	0.1278021994
110	0.1276970882
111	0.1276808807
112	0.1276808612
113	0.1276808594
114	0.1276808594
115	0.1276638359
116	0.1276638354
117	0.1276236364
118	0.1276128926
119	0.1276128926
120	0.127612892
121	0.1276128915
122	0.1275895323
123	0.1275796352
124	0.127536702
125	0.1275253585
126	0.1274970953
127	0.1274970731
128	0.1274748923
129	0.1274272988
130	0.1274171951
131	0.1274171915
132	0.1272987791
133	0.1272567875
134	0.1272567874
135	0.1272567842
136	0.1272567724
137	0.1272416259
138	0.1272273359
139	0.1272272672
140	0.1271125449
141	0.1270870106
142	0.1270477778
143	0.1270477548
144	0.126943671
145	0.1269436426
146	0.126928059
147	0.126928047
148	0.1269280396
149	0.1269280396
150	0.1269071274
151	0.1268998207
152	0.1268914186
153	0.1268914186
154	0.1268495124
155	0.1268435057
156	0.1268364604
157	0.1268364596
158	0.126836457
159	0.1268319397
160	0.1268319388
161	0.1268266273
162	0.1268266194
163	0.1268266165
164	0.1268201015
165	0.1268201009
166	0.1268201009
167	0.126814696
168	0.1268146924
169	0.1268099357
170	0.1268099351
171	0.1268099346
172	0.1268099013
173	0.1268074895
174	0.1268074648
175	0.1268074602
176	0.1268074564
177	0.1268074564
178	0.1268032723
179	0.126803272
180	0.1268032687
181	0.1268032684
182	0.126803268
183	0.1268032666
184	0.1268032545
185	0.1267991164
186	0.1267991106
187	0.1267950846
188	0.1267916937
189	0.1267916752
190	0.1267916717
191	0.126791668
192	0.1267849978
193	0.1267849944
194	0.1267819987
195	0.1267819827
196	0.1267819807
197	0.1267783111
198	0.126778304
199	0.1267782978
