iter	Passed	Remaining
0	110	21927
1	115	11473
2	158	10403
3	343	16845
4	358	13995
5	450	14574
6	538	14856
7	574	13791
8	588	12498
9	604	11488
10	623	10720
11	639	10018
12	656	9445
13	671	8920
14	682	8415
15	700	8060
16	716	7709
17	727	7357
18	741	7061
19	753	6781
20	764	6520
21	800	6475
22	816	6282
23	835	6127
24	877	6139
25	890	5956
26	899	5765
27	913	5612
28	926	5461
29	944	5351
30	964	5258
31	969	5090
32	984	4982
33	1001	4887
34	1017	4795
35	1035	4716
36	1049	4622
37	1068	4553
38	1086	4485
39	1103	4415
40	1121	4349
41	1130	4251
42	1144	4180
43	1200	4257
44	1216	4189
45	1224	4098
46	1235	4020
47	1242	3935
48	1252	3860
49	1261	3783
50	1270	3712
51	1280	3643
52	1301	3609
53	1318	3564
54	1361	3588
55	1379	3546
56	1398	3507
57	1411	3455
58	1458	3486
59	1474	3440
60	1490	3395
61	1494	3326
62	1503	3269
63	1546	3287
64	1559	3239
65	1575	3198
66	1581	3139
67	1596	3098
68	1612	3060
69	1626	3019
70	1645	2989
71	1658	2949
72	1701	2960
73	1714	2918
74	1729	2881
75	1745	2847
76	1763	2816
77	1777	2780
78	1803	2762
79	1828	2743
80	1850	2719
81	1856	2671
82	1864	2628
83	1873	2586
84	1892	2560
85	1904	2525
86	1928	2505
87	1950	2482
88	1968	2454
89	1987	2428
90	2006	2403
91	2024	2376
92	2056	2365
93	2067	2331
94	2074	2292
95	2089	2263
96	2105	2236
97	2124	2211
98	2136	2179
99	2147	2147
100	2161	2118
101	2175	2090
102	2189	2062
103	2202	2032
104	2215	2004
105	2222	1970
106	2239	1946
107	2248	1915
108	2262	1889
109	2280	1865
110	2300	1844
111	2327	1828
112	2356	1814
113	2367	1785
114	2379	1758
115	2396	1735
116	2403	1705
117	2431	1689
118	2451	1668
119	2464	1642
120	2483	1621
121	2489	1591
122	2497	1563
123	2517	1543
124	2545	1527
125	2560	1503
126	2576	1480
127	2592	1458
128	2616	1439
129	2629	1415
130	2649	1395
131	2658	1369
132	2682	1351
133	2704	1332
134	2713	1306
135	2724	1282
136	2744	1262
137	2767	1243
138	2785	1222
139	2810	1204
140	2885	1207
141	2900	1184
142	2916	1162
143	2935	1141
144	2967	1125
145	2990	1106
146	3011	1085
147	3044	1069
148	3064	1048
149	3082	1027
150	3096	1004
151	3110	982
152	3140	964
153	3162	944
154	3187	925
155	3214	906
156	3234	885
157	3243	862
158	3268	842
159	3283	820
160	3299	799
161	3305	775
162	3321	754
163	3341	733
164	3367	714
165	3388	693
166	3400	671
167	3418	651
168	3435	630
169	3451	609
170	3485	591
171	3494	568
172	3501	546
173	3516	525
174	3534	504
175	3553	484
176	3570	463
177	3611	446
178	3630	425
179	3650	405
180	3667	385
181	3674	363
182	3681	341
183	3686	320
184	3694	299
185	3728	280
186	3769	262
187	3786	241
188	3807	221
189	3826	201
190	3843	181
191	3861	160
192	3889	141
193	3895	120
194	3901	100
195	3913	79
196	3926	59
197	3932	39
198	3938	19
199	3944	0
